time, EO_temp, EO_humi, SI_temp, SI_humi, SO_temp, SO_humi, EI_temp, EI_humi, EP_temp, EP_humi
1,0,0,-0.43,0.49,5,5,4.98000896,4.674187899,-4.3,38
2,4.12000896,12.2741879,3.77,12.21,5,5,4.890633583,4.748411,-5,42
3,7.186640751,22.96776132,7.29,22.81,5,5,4.709961414,5.45075953,-5.5,43
4,9.359274015,32.42496859,9.29,32.42,5,5,4.766545475,5.467417955,-6.1,45
5,11.03396469,40.40739282,10.98,40.32,5,3.08,5.28011471,2.809273915,-6.1,45
6,12.88728646,44.13518817,12.69,43.72,5,-0.32,4.959010005,-0.434953697,-6.4,47
7,13.98883917,44.27319684,14.32,44.48,5,-1.08,5.141708076,-1.378259079,-6.7,48
8,14.99277941,43.64029839,15.47,43.8,5,-0.4,5.218167543,-0.06226685,-6.9,48
9,15.83239107,44.44997187,,44.4,5,-1,4.896361232,-1.248320103,-7,49
10,16.16227409,44.11165739,16.57,43.99,5,-0.59,4.770039201,-0.354572382,-6.8,44
11,16.33985847,43.73475353,16.02,43.37,5,0.03,5.036031187,0.337571828,-5.6,38
12,16.98791797,42.92537465,,42.61,5,0.79,4.78502816,0.50688509,-4.5,36
13,17.47536253,42.04718481,17.85,41.91,5,1.49,5.120027721,1.631454697,-3.4,32
14,18.42031775,41.66920255,,41.59,5,1.81,5.445733726,1.84815943,-2.2,31
15,19.74198792,41.38352147,20.17,40.99,3.33,2.41,2.864316003,2.793833706,-1.5,30
16,18.35790634,41.90065088,18.45,41.92,5,1.48,4.636770487,1.963400464,-1.1,29
17,19.10309556,41.28392117,19.33,41.12,4.17,2.28,3.681831641,2.1762273,-0.4,30
18,18.88430809,41.20336423,18.52,41.38,4.98,2.02,4.707355182,1.59764262,-1.9,35
19,19.43480165,41.56033401,18.99,41.11,4.51,2.29,4.1284659,2.64640645,-3.1,39
20,19.05630722,43.69467366,18.81,43.54,4.69,-0.14,4.8828792,0.315320418,-3.7,41
21,19.38792498,43.47105934,19.25,43.11,4.25,0.29,4.54826951,-0.016568623,-3.9,44
22,19.27860949,43.56027885,19.5,43.2,4,0.2,3.623363316,0.621487868,-4.3,47
23,18.18625091,44.86971095,18.34,44.88,5,-1.48,4.854760587,-1.257717829,-5.2,53
24,18.36376132,45.23805093,17.92,,5,-1.48,4.75180155,-1.625466149,-5.9,54
25,18.2628106,45.3649746,18.16,45.41,5,-2.01,5.107746899,-2.057167838,-5.2,82
26,18.67799538,50.63481184,18.74,,4.76,-2.01,4.654363463,-2.482018182,-5.6,75
27,18.47675977,53.02583129,18.87,53.23,4.63,-5,4.572716181,-4.744029701,-5.7,72
28,18.214124,52.07663533,18.36,52.02,5,-5,4.62304765,-5.390945613,-6.1,70
29,17.97434685,50.27036265,18.17,50.65,5,-5,5.328464985,-5.227853119,-6.6,72
30,18.38794246,49.388437,18,49.63,5,-5,5.473723054,-5.340509117,-7.3,75
31,18.72407702,49.17024048,18.34,49.62,5,-5,4.735138953,-4.519226074,-7.7,74
32,18.17440057,49.61696631,,49.19,5,-5,5.150223553,-4.566925049,-8,70
33,18.08974401,49.126648,18.26,49.03,5,-5,4.982767105,-5.195214093,-7.9,67
34,17.87456231,47.50610431,18.28,47.45,5,-4.05,4.920777261,-4.507233369,-7.7,62
35,17.68042711,45.89765008,17.28,45.61,5,-2.21,5.179200888,-2.022007546,-6.9,53
36,17.94354258,45.29611252,17.79,45.79,5,-2.39,5.425447524,-2.845359697,-6.4,49
37,18.50028159,43.19153032,18.33,43.52,5,-0.12,5.328284264,-0.599375839,-5.6,44
38,19.00850953,42.75384841,18.84,42.96,4.66,0.44,5.024495873,0.452519836,-5.1,43
39,19.2113035,43.25559857,19.52,43.66,3.98,-0.26,3.873000066,-0.032979259,-5.3,37
40,18.18204287,41.97149959,18.29,41.52,5,1.88,5.165434182,1.811504905,-5.3,33
41,18.65106847,41.98870458,18.83,41.97,4.67,1.43,4.420151217,1.200754516,-5.4,30
42,18.261006,40.79171818,18.73,41.1,4.77,2.3,4.306067605,2.403066802,-6.5,34
43,17.6148724,41.83644135,17.25,41.68,5,1.72,4.918658912,1.996390195,-7.8,32
44,17.45055683,41.86554327,17.4,41.8,5,1.6,5.162388444,1.675787306,-8.5,35
45,17.42283391,42.16822192,17.53,41.81,5,1.59,4.853362143,1.227291491,-8.9,41
46,17.01162927,43.16186903,16.69,42.8,5,0.6,5.44892472,0.304828024,-9.4,47
47,17.17822814,44.23432325,17.29,44.03,5,-0.63,4.959169865,-0.373644118,-9.7,51
48,16.76175237,45.21381448,16.81,44.89,5,-1.49,4.715774715,-1.274751296,-10.2,53
49,16.08517661,45.49630029,16.28,45.5,5,-2.1,5.296205759,-2.132912135,3.5,62
